timestampMs,casimirForceNN,rfSpectrumDbm,magneticFieldMicroTesla,gravimeterAnomalyMicroG,extractedPowerW,bioticCoherencePct,emiDensityDbM,s11ParameterDb
0,10.9321,-29.5762,48.006,-0.02556,5.4066,74.297,-59.7663,-9.9801
500,10.8031,-29.9188,48.2482,-0.04626,5.1072,72.524,-59.1774,-9.594
1000,10.4377,-29.4497,48.5331,0.037,5.9343,74.759,-59.2248,-9.9977
1500,10.0285,-29.9214,48.3872,0.01474,5.1099,70.995,-59.0116,-9.6168
2000,10.8202,-29.4262,48.1839,-0.02291,5.0664,70.299,-59.0747,-9.5672
2500,10.9716,-29.7402,48.3667,0.0209,5.0337,73.335,-59.3013,-9.8364
3000,10.7478,-29.8761,48.8146,0.021,5.9701,74.372,-59.8927,-9.1205
3500,10.0729,-29.9798,48.0877,0.04051,5.4224,71.314,-59.2366,-9.5755
4000,10.1983,-29.3595,48.6128,-0.04396,5.9671,70.491,-59.2336,-9.8003
4500,10.6191,-29.5799,48.6471,-0.03766,5.9155,71.405,-59.3711,-9.7712
5000,10.4614,-29.9672,48.2264,0.03332,5.8215,74.517,-59.2143,-9.3126
5500,10.6202,-29.5745,48.5299,-0.01278,5.4831,70.736,-59.0913,-9.481
6000,10.5794,-29.6222,48.3225,-0.02988,5.2609,70.601,-59.796,-9.6073
6500,10.4996,-29.9127,48.5069,-0.03057,5.3069,73.358,-59.9105,-9.0921
7000,10.9139,-29.2511,48.2226,0.04956,5.315,74.769,-59.4939,-9.4527
7500,10.5089,-29.0908,48.5235,-0.01641,5.8544,74.058,-59.0673,-9.8888
8000,10.8447,-29.1432,48.9022,0.03928,5.9535,70.996,-59.0422,-9.8632
8500,10.538,-29.9215,48.3378,-0.0276,5.3966,73.121,-59.1106,-9.3897
9000,10.1971,-29.0984,48.0356,0.02457,5.5808,71.929,-59.0659,-9.5592
9500,10.549,-29.8877,48.226,0.02339,5.1763,73.641,-59.8455,-9.074
